root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;core;core1;core2;core3;core4;energy;performance
1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;2.7802;86.792
1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1.8856;45.928
1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1.518;31.164
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1.736;31.514
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;3.868;117.588
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;1;0;0;2.5556;62.468
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;2.0678;43.236
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;1;2.3296;42.72
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1;1;0;0;0;4.8818;157.16
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;3.3668;84.112
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;0;1;0;2.9052;58.796
1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;0;0;1;1.3072;23.062
1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;0;2.7772;86.896
1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;1.8884;46.038
1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1.5162;30.992
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;1.7504;31.662
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;3.6318;117.354
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;2.4202;62.598
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;2.021;43.26
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;2.5194;42.7
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;0;5.1746;157.242
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;3.3918;84.156
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;2.894;58.854
1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1.2576;23.302
1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;2.7654;86.718
1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;1;0;0;1.7722;45.858
1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;1;0;1.4362;31.044
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;0;1;1.8132;31.744
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;3.8832;117.374
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;2.4134;62.43
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;2.112;43.158
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;2.5162;42.526
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;0;5.178;157.34
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;3.3414;83.976
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;2.6892;58.642
1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;1.2578;23.24
1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;2.8766;87.264
1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1.8992;46.154
