root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLzma;unlimitedWindowSize;disableCompressibilityTesting;level;processorCount;maxRam;energy;performance
1;0;0;0;0;0;0;0;1;0;6;3;2;0.069431;0.018244
1;0;0;0;0;0;0;0;1;0;7;3;2;0.031921;0.010396
1;0;0;0;0;0;0;0;1;0;8;3;2;0.066662;0.016503
1;0;0;0;0;0;0;0;1;0;9;3;2;0.046811;0.015065
1;0;0;0;0;0;0;0;1;0;1;4;2;0.027451;0.008169
1;0;0;0;0;0;0;0;1;0;2;4;2;0.063001;0.011310
1;0;0;0;0;0;0;0;1;0;3;4;2;0.069825;0.014830
1;0;0;0;0;0;0;0;1;0;4;4;2;0.052530;0.019175
1;0;0;0;0;0;0;0;1;0;5;4;2;0.018092;0.009392
1;0;0;0;0;0;0;0;1;0;6;4;2;0.024451;0.009634
1;0;0;0;0;0;0;0;1;0;7;4;2;0.040445;0.012531
1;0;0;0;0;0;0;0;1;0;8;4;2;0.057662;0.009837
1;0;0;0;0;0;0;0;1;0;9;4;2;0.042497;0.010216
1;0;0;0;0;0;0;0;1;0;1;1;6;0.012492;0.007287
1;0;0;0;0;0;0;0;1;0;2;1;6;0.042237;0.015463
1;0;0;0;0;0;0;0;1;0;3;1;6;0.029439;0.020104
1;0;0;0;0;0;0;0;1;0;4;1;6;0.054060;0.015024
1;0;0;0;0;0;0;0;1;0;5;1;6;0.048477;0.009824
1;0;0;0;0;0;0;0;1;0;6;1;6;0.018687;0.006773
1;0;0;0;0;0;0;0;1;0;7;1;6;0.030755;0.005725
1;0;0;0;0;0;0;0;1;0;8;1;6;0.021298;0.008849
1;0;0;0;0;0;0;0;1;0;9;1;6;0.030993;0.003752
1;0;0;0;0;0;0;0;1;0;1;2;6;0.028924;0.011223
1;0;0;0;0;0;0;0;1;0;2;2;6;0.016617;0.011599
1;0;0;0;0;0;0;0;1;0;3;2;6;0.026858;0.016664
1;0;0;0;0;0;0;0;1;0;4;2;6;0.039416;0.010555
1;0;0;0;0;0;0;0;1;0;5;2;6;0.030140;0.007938
1;0;0;0;0;0;0;0;1;0;6;2;6;0.017982;0.009453
1;0;0;0;0;0;0;0;1;0;7;2;6;0.023094;0.002497
1;0;0;0;0;0;0;0;1;0;8;2;6;0.036556;0.001867
1;0;0;0;0;0;0;0;1;0;9;2;6;0.026452;0.007643
1;0;0;0;0;0;0;0;1;0;1;3;6;0.056639;0.034798
1;0;0;0;0;0;0;0;1;0;2;3;6;0.052490;0.004729
1;0;0;0;0;0;0;0;1;0;3;3;6;0.029054;0.009024
1;0;0;0;0;0;0;0;1;0;4;3;6;0.041134;0.021434
1;0;0;0;0;0;0;0;1;0;5;3;6;0.040439;0.010333
1;0;0;0;0;0;0;0;1;0;6;3;6;0.021151;0.005986
1;0;0;0;0;0;0;0;1;0;7;3;6;0.047989;0.010689
1;0;0;0;0;0;0;0;1;0;8;3;6;0.058592;0.029145
1;0;0;0;0;0;0;0;1;0;9;3;6;0.054334;0.009730
1;0;0;0;0;0;0;0;1;0;1;4;6;0.038837;0.032770
1;0;0;0;0;0;0;0;1;0;2;4;6;0.055002;0.030515
1;0;0;0;0;0;0;0;1;0;3;4;6;0.056203;0.004942
1;0;0;0;0;0;0;0;1;0;4;4;6;0.080462;0.024415
1;0;0;0;0;0;0;0;1;0;5;4;6;0.026011;0.006884
