root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLzma;unlimitedWindowSize;disableCompressibilityTesting;level;processorCount;maxRam;energy;performance
1;0;0;0;0;0;0;0;1;0;1;4;18;439.000000;10468.200000
1;0;0;0;0;0;0;0;1;0;2;4;18;422.600000;10199.000000
1;0;0;0;0;0;0;0;1;0;3;4;18;430.200000;10394.600000
1;0;0;0;0;0;0;0;1;0;4;4;18;435.600000;10741.400000
1;0;0;0;0;0;0;0;1;0;5;4;18;457.600000;10973.800000
1;0;0;0;0;0;0;0;1;0;6;4;18;472.800000;11493.200000
1;0;0;0;0;0;0;0;1;0;7;4;18;497.800000;12382.800000
1;0;0;0;0;0;0;0;1;0;8;4;18;504.400000;12468.000000
1;0;0;0;0;0;0;0;1;0;9;4;18;511.600000;12609.200000
1;1;0;0;0;0;0;0;0;0;1;1;2;524.400000;15131.400000
1;1;0;0;0;0;0;0;0;0;2;1;2;531.000000;15491.400000
1;1;0;0;0;0;0;0;0;0;3;1;2;531.600000;15266.600000
1;1;0;0;0;0;0;0;0;0;4;1;2;595.000000;15141.600000
1;1;0;0;0;0;0;0;0;0;5;1;2;602.800000;15442.800000
1;1;0;0;0;0;0;0;0;0;6;1;2;632.400000;17165.800000
1;1;0;0;0;0;0;0;0;0;7;1;2;812.800000;20841.200000
1;1;0;0;0;0;0;0;0;0;8;1;2;825.400000;21504.600000
1;1;0;0;0;0;0;0;0;0;9;1;2;808.000000;21204.800000
1;1;0;0;0;0;0;0;0;0;1;2;2;556.200000;14749.200000
1;1;0;0;0;0;0;0;0;0;2;2;2;569.000000;14858.200000
1;1;0;0;0;0;0;0;0;0;3;2;2;582.200000;15040.600000
1;1;0;0;0;0;0;0;0;0;4;2;2;570.000000;15250.200000
1;1;0;0;0;0;0;0;0;0;5;2;2;613.000000;15462.600000
1;1;0;0;0;0;0;0;0;0;6;2;2;668.600000;17104.000000
1;1;0;0;0;0;0;0;0;0;7;2;2;769.400000;20909.800000
1;1;0;0;0;0;0;0;0;0;8;2;2;767.400000;21362.000000
1;1;0;0;0;0;0;0;0;0;9;2;2;783.800000;21084.200000
1;1;0;0;0;0;0;0;0;0;1;3;2;559.600000;14709.600000
1;1;0;0;0;0;0;0;0;0;2;3;2;576.600000;14942.200000
1;1;0;0;0;0;0;0;0;0;3;3;2;585.600000;14897.200000
