root;ee_instrument;simplifycfg;ipsccp;called_value_propagation;basicaa;instcombine;inline;mergereturn;jump_threading;pgo_memop_opt;tailcallelim;licm;sink;gvn;sccp;adce;performance;energy
1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;64416.800000;2206.000000
1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;64458.400000;2185.200000
1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;65596.400000;2210.600000
1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;65593.800000;2255.800000
1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;65089.400000;2193.000000
1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;66255.600000;2238.600000
1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;65540.600000;2231.600000
1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;66273.600000;2294.400000
1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;57982.800000;1962.800000
1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;57931.000000;1968.400000
1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;60329.800000;2076.800000
1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;60539.800000;2062.000000
1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;61190.800000;2070.200000
1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;61754.000000;2112.800000
1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;61453.000000;2086.800000
1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;61878.000000;2126.000000
1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;63904.400000;2206.800000
1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;63560.200000;2163.000000
1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;67351.600000;2315.000000
1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;67019.800000;2251.000000
1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;66091.200000;2289.400000
1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;67641.600000;2262.600000
1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;66163.000000;2240.200000
1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;67575.200000;2325.000000
1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;61061.800000;2070.800000
1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;61257.400000;2099.400000
1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;61349.400000;2109.400000
1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;61410.600000;2096.000000
1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;66915.200000;2291.800000
1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;67279.800000;2274.400000
