root,twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,threads,threads_1,threads_2,threads_4,threads_8,arnrMaxFrames,arnrMaxFrames_0,arnrMaxFrames_5,arnrMaxFrames_15,arnrStrength,arnrStrength_0,arnrStrength_3,arnrStrength_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.21,17.226,0.055946,0.004547,0.0,35
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,22.87,22.838,0.070143,0.004511,0.0,21
1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,38.1,38.12,0.087178,0.004697,0.0,108
1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,26.74,26.71,0.079373,0.004859,0.0,134
1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.04,17.058,0.049193,0.0042,0.0,120
1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,akiyo_cif.y4m,51.07,51.002,0.149231,0.004495,0.0,281
1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,akiyo_cif.y4m,50.27,50.232,0.08438,0.004428,0.0,295
1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,51.08,51.01,0.123288,0.004495,0.0,242
1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,akiyo_cif.y4m,49.03,49.07,0.102713,0.004453,0.0,256
1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,49.09,49.078,0.054498,0.00443,0.0,252
1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,51.0,50.938,0.170646,0.004495,0.0,246
1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,akiyo_cif.y4m,51.06,50.98,0.202855,0.004495,0.0,291
1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,51.0,51.004,0.107378,0.004537,0.0,285
1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,16.66,16.672,0.053572,0.004193,0.0,118
