root,asm,wpp,rdoLevel,rdoBasic,rdoSplits,rdoChroma,rdoPrediction,rect,amp,bitdepth,8bit,10bit,me,meDia,meHex,meUmh,meStar,frameThreads,frameThreads_1,frameThreads_2,frameThreads_4,frameThreads_8,ref,ref_1,ref_3,ref_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,1.95,1.942,0.010954,0.001383,0.0,56
1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,akiyo_cif.y4m,1.39,1.39,0.025495,0.001415,0.0,4
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,1.81,1.806,0.005477,0.000992,0.0,42
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,akiyo_cif.y4m,8.06,8.058,0.010954,0.00106,0.0,194
1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,2.63,2.636,0.015166,0.000934,0.0,180
1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,13.17,13.146,0.082341,0.001083,0.0,95
1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,1.17,1.168,0.008367,0.001017,0.0,81
1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,2.98,2.986,0.015166,0.000935,0.0,157
1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,2.72,2.724,0.011402,0.000931,0.0,143
1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,3.99,3.994,0.016733,0.00093,0.0,209
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,15.09,15.092,0.022804,0.001045,0.0,221
1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,12.12,12.124,0.020736,0.001086,0.0,235
1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,4.16,4.154,0.013416,0.000926,0.0,219
1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,3.62,3.616,0.018166,0.000925,0.0,231
1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,4.16,4.174,0.019494,0.00093,0.0,225
1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,7.59,7.588,0.017889,0.001085,0.0,85
1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,9.47,9.464,0.038471,0.001085,0.0,91
1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,3.6,3.59,0.018708,0.000924,0.0,147
1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,1.66,1.662,0.014832,0.000958,0.0,153
1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,1.43,1.426,0.005477,0.001047,0.0,46
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,akiyo_cif.y4m,1.54,1.532,0.016432,0.000972,0.0,52
1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,7.95,7.944,0.024083,0.001058,0.0,184
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,akiyo_cif.y4m,5.03,5.036,0.015166,0.001071,0.0,190
1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,akiyo_cif.y4m,4.39,4.384,0.027928,0.001071,0.0,345
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,10.52,10.53,0.023452,0.001047,0.0,351
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,akiyo_cif.y4m,7.41,7.428,0.045497,0.001066,0.0,350
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,akiyo_cif.y4m,12.76,12.774,0.02881,0.001059,0.0,344
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,9.5,9.492,0.013038,0.001071,0.0,191
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,13.73,13.732,0.025884,0.001046,0.0,185
1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,akiyo_cif.y4m,1.66,1.666,0.008944,0.001382,0.0,1
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,1.74,1.74,0.018708,0.000959,0.0,53
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,akiyo_cif.y4m,1.52,1.526,0.039115,0.000992,0.0,47
1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,1.63,1.628,0.023875,0.000958,0.0,152
1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,2.74,2.742,0.013038,0.000931,0.0,146
1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,8.5,8.516,0.037815,0.001085,0.0,90
1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,6.2,6.214,0.039749,0.001091,0.0,84
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,21.47,21.484,0.036469,0.001053,0.0,224
1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,3.39,3.386,0.023022,0.000925,0.0,230
1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,4.14,4.146,0.015166,0.000926,0.0,218
1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,4.61,4.61,0.014142,0.00093,0.0,226
1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,akiyo_cif.y4m,2.45,2.454,0.016733,0.000959,0.0,232
