OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,config,workload,throughput
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,tpcc-2,690.089478527763
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,tpcc-8,575.574974967848
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,smallbank-1,19437.0238885595
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,ycsb-600,19168.4596817322
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,voter-2,25196.1666171142
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,voter-16,25566.3832570603
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32,smallbank-1,17352.1025991323
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32,tpcc-8,557.514010577001
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32,ycsb-600,20032.1052706849
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32,voter-2,26261.0166504724
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32,voter-16,26186.5999292962
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32,ycsb-2400,14700.1145885707
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32,smallbank-10,12317.9431879877
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,32,tpcc-2,708.754776064977
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33,voter-2,25544.8666287751
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33,voter-16,25049.8166203245
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33,smallbank-1,18191.938133347
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33,tpcc-8,588.949095649032
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33,ycsb-600,19504.8481153236
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33,smallbank-10,11477.9028489395
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33,tpcc-2,701.073529591203
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,33,ycsb-2400,13663.3340398354
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,34,ycsb-600,22668.237755003
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,34,tpcc-8,629.860496752696
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,34,smallbank-1,20099.7881518888
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,34,voter-16,29843.6166562214
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,34,voter-2,29994.3332753443
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,34,ycsb-2400,14673.7780972581
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,34,tpcc-2,782.295031344376
