root;mpm;prefork;worker;moreThreads;moreProcesses;sendfile;compression;noCompression;keepalive;basicAuth;tls;tlsAes128;tlsAes256;maxClients;compressionLevel;revision;performance;cpu;energy;fixed-energy
1;1;1;0;0;0;1;1;0;0;1;1;0;1;2048;9;2.2.0;168.703200;52.292275;7300.400000;7519.403633
1;1;1;0;0;0;1;1;0;0;1;1;0;1;4096;9;2.2.0;166.873600;52.731803;7290.400000;7544.681218
1;1;1;0;0;0;1;1;0;0;1;1;1;0;512;1;2.2.0;166.582800;52.501492;7253.200000;7516.854650
1;1;1;0;0;0;1;1;0;0;1;1;1;0;1024;1;2.2.0;167.808400;52.225054;7242.400000;7480.862884
1;1;1;0;0;0;1;1;0;0;1;1;1;0;2048;1;2.2.0;165.490800;53.054199;7233.400000;7513.572726
1;1;1;0;0;0;1;1;0;0;1;1;1;0;4096;1;2.2.0;167.341600;52.358219;7374.200000;7621.588945
1;1;1;0;0;0;1;1;0;0;1;1;1;0;512;5;2.2.0;167.045800;52.165030;7283.000000;7537.053400
1;1;1;0;0;0;1;1;0;0;1;1;1;0;1024;5;2.2.0;165.595600;52.925873;7234.600000;7514.930391
1;1;1;0;0;0;1;1;0;0;1;1;1;0;2048;5;2.2.0;168.157800;52.538641;7342.800000;7566.839731
1;1;1;0;0;0;1;1;0;0;1;1;1;0;4096;5;2.2.0;166.604800;52.602077;7283.600000;7544.908173
1;1;1;0;0;0;1;1;0;0;1;1;1;0;512;9;2.2.0;166.774200;52.299033;7204.600000;7468.999557
1;1;1;0;0;0;1;1;0;0;1;1;1;0;1024;9;2.2.0;165.710400;54.041328;7455.600000;7749.729318
1;1;1;0;0;0;1;1;0;0;1;1;1;0;2048;9;2.2.0;166.941600;52.767117;7301.400000;7545.256049
1;1;1;0;0;0;1;1;0;0;1;1;1;0;4096;9;2.2.0;167.779000;52.404231;7393.600000;7632.908801
1;1;0;1;0;0;0;0;1;0;0;1;0;1;512;0;2.2.0;164.181800;47.729230;6910.200000;7215.237572
1;1;0;1;0;0;0;0;1;0;0;1;0;1;1024;0;2.2.0;165.455600;47.810300;6939.400000;7219.746870
1;1;0;1;0;0;0;0;1;0;0;1;0;1;2048;0;2.2.0;166.403400;47.720026;6965.000000;7225.522286
1;1;0;1;0;0;0;0;1;0;0;1;0;1;4096;0;2.2.0;164.175600;48.125285;6895.400000;7206.539039
1;1;0;1;0;0;0;0;1;0;0;1;1;0;512;0;2.2.0;161.895800;48.560004;6764.400000;7116.821366
1;1;0;1;0;0;0;0;1;0;0;1;1;0;1024;0;2.2.0;165.261200;48.293939;6788.200000;7080.120117
1;1;0;1;0;0;0;0;1;0;0;1;1;0;2048;0;2.2.0;164.191000;48.169116;6904.400000;7206.325505
1;1;0;1;0;0;0;0;1;0;0;1;1;0;4096;0;2.2.0;163.751200;48.295871;6963.000000;7283.640977
1;1;0;1;0;0;0;0;1;0;1;1;0;1;512;0;2.2.0;165.605000;52.001265;7207.000000;7492.669437
1;1;0;1;0;0;0;0;1;0;1;1;0;1;1024;0;2.2.0;164.705800;51.131312;7107.000000;7406.602417
1;1;0;1;0;0;0;0;1;0;1;1;0;1;2048;0;2.2.0;165.768400;51.421083;7128.200000;7413.810438
1;1;0;1;0;0;0;0;1;0;1;1;0;1;4096;0;2.2.0;163.754200;51.425929;7043.400000;7358.472089
1;1;0;1;0;0;0;0;1;0;1;1;1;0;512;0;2.2.0;162.927200;51.364206;6964.600000;7296.213267
