root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers;tempBuffers;workMem;revision;performance;energy
1;0;0;1;0;0;256;8;256;8.3.0;46381.600000;1470.400000
1;0;0;1;0;0;64;32;256;8.3.0;46180.000000;1498.400000
1;0;0;1;0;0;128;32;256;8.3.0;46078.800000;1494.600000
1;0;0;1;0;0;256;32;256;8.3.0;46243.200000;1509.800000
1;0;0;1;0;0;64;2;1024;8.3.0;46199.000000;1488.000000
1;0;0;1;0;0;128;2;1024;8.3.0;46254.600000;1517.600000
1;0;0;1;0;0;256;2;1024;8.3.0;46432.200000;1500.600000
1;0;0;1;0;0;64;8;1024;8.3.0;46291.600000;1476.000000
1;0;0;1;0;0;128;8;1024;8.3.0;46245.000000;1477.200000
1;0;0;1;0;0;256;8;1024;8.3.0;46146.200000;1499.000000
1;0;0;1;0;0;64;32;1024;8.3.0;46389.600000;1479.600000
1;0;0;1;0;0;128;32;1024;8.3.0;46138.800000;1491.200000
1;0;0;1;0;0;256;32;1024;8.3.0;46212.800000;1489.200000
1;0;0;1;0;0;64;2;4096;8.3.0;46095.000000;1494.400000
1;0;0;1;0;0;128;2;4096;8.3.0;46307.200000;1480.000000
1;0;0;1;0;0;256;2;4096;8.3.0;46143.400000;1449.800000
1;0;0;1;0;0;64;8;4096;8.3.0;46330.800000;1489.200000
1;0;0;1;0;0;128;8;4096;8.3.0;46163.200000;1491.200000
1;0;0;1;0;0;256;8;4096;8.3.0;46383.400000;1500.200000
1;0;0;1;0;0;64;32;4096;8.3.0;46191.200000;1479.000000
1;0;0;1;0;0;128;32;4096;8.3.0;46233.600000;1472.600000
1;0;0;1;0;0;256;32;4096;8.3.0;46148.200000;1485.800000
1;0;0;1;0;1;64;2;256;8.3.0;46268.800000;1494.200000
1;0;0;1;0;1;128;2;256;8.3.0;46121.000000;1442.000000
1;0;0;1;0;1;256;2;256;8.3.0;46342.000000;1488.000000
1;0;0;1;0;1;64;8;256;8.3.0;46344.400000;1508.200000
1;0;0;1;0;1;128;8;256;8.3.0;46271.000000;1494.000000
1;0;0;1;0;1;256;8;256;8.3.0;46064.600000;1472.200000
1;0;0;1;0;1;64;32;256;8.3.0;46132.400000;1502.200000
1;0;0;1;0;1;128;32;256;8.3.0;46260.200000;1509.800000
1;0;0;1;0;1;256;32;256;8.3.0;46282.000000;1503.200000
1;0;0;1;0;1;64;2;1024;8.3.0;46185.200000;1485.800000
1;0;0;1;0;1;128;2;1024;8.3.0;46229.800000;1486.800000
1;0;0;1;0;1;256;2;1024;8.3.0;46177.200000;1506.800000
1;0;0;1;0;1;64;8;1024;8.3.0;47386.400000;1524.600000
1;0;0;1;0;1;128;8;1024;8.3.0;46365.000000;1462.200000
1;0;0;1;0;1;256;8;1024;8.3.0;46106.200000;1484.000000
1;0;0;1;0;1;64;32;1024;8.3.0;46132.600000;1460.400000
1;0;0;1;0;1;128;32;1024;8.3.0;47486.600000;1570.200000
1;0;0;1;0;1;256;32;1024;8.3.0;45939.800000;1476.600000
1;0;0;1;0;1;64;2;4096;8.3.0;46238.600000;1505.200000
1;0;0;1;0;1;128;2;4096;8.3.0;46359.400000;1473.800000
1;0;0;1;0;1;256;2;4096;8.3.0;46301.000000;1470.600000
1;0;0;1;0;1;64;8;4096;8.3.0;46345.600000;1478.800000
1;0;0;1;0;1;128;8;4096;8.3.0;46545.600000;1536.600000
1;0;0;1;0;1;256;8;4096;8.3.0;46508.600000;1509.000000
1;0;0;1;0;1;64;32;4096;8.3.0;47106.400000;1484.200000
1;0;0;1;0;1;128;32;4096;8.3.0;46408.800000;1521.800000
1;0;0;1;0;1;256;32;4096;8.3.0;47000.200000;1529.400000
1;0;0;1;1;0;64;2;256;8.3.0;46508.800000;1502.200000
1;0;0;1;1;0;128;2;256;8.3.0;46483.800000;1514.400000
1;0;0;1;1;0;256;2;256;8.3.0;46610.200000;1552.000000
1;0;0;1;1;0;64;8;256;8.3.0;46557.400000;1516.800000
1;0;0;1;1;0;128;8;256;8.3.0;47257.200000;1546.400000
1;0;0;1;1;0;256;8;256;8.3.0;46479.800000;1495.600000
1;0;0;1;1;0;64;32;256;8.3.0;46700.800000;1516.800000
1;0;0;1;1;0;128;32;256;8.3.0;46471.000000;1506.800000
1;0;0;1;1;0;256;32;256;8.3.0;46622.600000;1525.200000
1;0;0;1;1;0;64;2;1024;8.3.0;46456.000000;1487.600000
1;0;0;1;1;0;128;2;1024;8.3.0;46881.400000;1564.200000
1;0;0;1;1;0;256;2;1024;8.3.0;46729.200000;1532.000000
1;0;0;1;1;0;64;8;1024;8.3.0;46966.400000;1546.200000
1;0;0;1;1;0;128;8;1024;8.3.0;47024.000000;1550.200000
1;0;0;1;1;0;256;8;1024;8.3.0;46903.400000;1521.400000
1;0;0;1;1;0;64;32;1024;8.3.0;46819.600000;1561.000000
1;0;0;1;1;0;128;32;1024;8.3.0;46495.600000;1484.200000
1;0;0;1;1;0;256;32;1024;8.3.0;47774.000000;1568.000000
1;0;0;1;1;0;64;2;4096;8.3.0;46806.800000;1512.200000
1;0;0;1;1;0;128;2;4096;8.3.0;46450.200000;1493.600000
1;0;0;1;1;0;256;2;4096;8.3.0;46625.000000;1479.400000
1;0;0;1;1;0;64;8;4096;8.3.0;46665.200000;1474.200000
