root;multiAccept;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;tcpNoDelay;tcpNoPush;processCount;compressionLevel;performance;energy
1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;19.020800;600.200000
1;1;1;0;1;0;0;1;0;0;0;0;1;0;2;1;9.012600;331.000000
1;1;1;0;1;0;0;1;0;0;0;0;1;0;4;1;4.668400;227.800000
1;1;1;0;1;0;0;1;0;0;0;0;1;0;8;1;4.653000;208.600000
1;1;1;0;1;0;0;1;0;0;0;0;1;1;1;1;18.353600;571.200000
1;1;1;0;1;0;0;1;0;0;0;0;1;1;2;1;9.303200;321.400000
1;1;1;0;1;0;0;1;0;0;0;0;1;1;4;1;4.695600;187.200000
1;1;1;0;1;0;0;1;0;0;0;0;1;1;8;1;4.655200;215.000000
1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;18.021400;571.400000
1;1;1;0;1;1;0;1;0;0;0;0;0;0;2;1;8.892000;352.200000
1;1;1;0;1;1;0;1;0;0;0;0;0;0;4;1;4.602400;222.400000
1;1;1;0;1;1;0;1;0;0;0;0;0;0;8;1;4.562400;215.000000
1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;1;17.453200;548.600000
1;1;1;0;1;1;0;1;0;0;0;0;0;1;2;1;8.871600;356.400000
1;1;1;0;1;1;0;1;0;0;0;0;0;1;4;1;4.601600;181.200000
1;1;1;0;1;1;0;1;0;0;0;0;0;1;8;1;4.543800;231.800000
1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;1;17.819400;576.200000
1;1;1;0;1;1;0;1;0;0;0;0;1;0;2;1;9.053800;334.200000
1;1;1;0;1;1;0;1;0;0;0;0;1;0;4;1;4.674000;214.800000
1;1;1;0;1;1;0;1;0;0;0;0;1;0;8;1;4.664200;209.600000
1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;1;17.069000;558.400000
1;1;1;0;1;1;0;1;0;0;0;0;1;1;2;1;9.039200;319.600000
1;1;1;0;1;1;0;1;0;0;0;0;1;1;4;1;4.555800;218.000000
