root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;threads;tokenParts;arnrMaxFrames;arnrStrength;revision;performance;energy
1;0;1;0;0;1;0;0;0;0;3;2;5;0;v0.9.1;9478.600000;438.600000
1;0;1;0;0;1;0;0;0;0;4;2;5;0;v0.9.1;9327.800000;451.200000
1;0;1;0;0;1;0;0;0;0;1;0;15;0;v0.9.1;11877.000000;446.600000
1;0;1;0;0;1;0;0;0;0;2;0;15;0;v0.9.1;10474.600000;468.200000
1;0;1;0;0;1;0;0;0;0;3;0;15;0;v0.9.1;9504.600000;445.800000
1;0;1;0;0;1;0;0;0;0;4;0;15;0;v0.9.1;9273.600000;444.000000
1;0;1;0;0;1;0;0;0;0;1;1;15;0;v0.9.1;11963.000000;417.400000
1;0;1;0;0;1;0;0;0;0;2;1;15;0;v0.9.1;10523.800000;448.400000
1;0;1;0;0;1;0;0;0;0;3;1;15;0;v0.9.1;9839.600000;460.400000
1;0;1;0;0;1;0;0;0;0;4;1;15;0;v0.9.1;9352.200000;446.400000
1;0;1;0;0;1;0;0;0;0;1;2;15;0;v0.9.1;11922.600000;462.800000
1;0;1;0;0;1;0;0;0;0;2;2;15;0;v0.9.1;10376.800000;443.400000
1;0;1;0;0;1;0;0;0;0;3;2;15;0;v0.9.1;9667.400000;443.400000
1;0;1;0;0;1;0;0;0;0;4;2;15;0;v0.9.1;9343.600000;466.200000
1;0;1;0;0;1;0;0;0;0;1;0;0;3;v0.9.1;11853.600000;421.600000
1;0;1;0;0;1;0;0;0;0;2;0;0;3;v0.9.1;10203.200000;426.200000
1;0;1;0;0;1;0;0;0;0;3;0;0;3;v0.9.1;9641.200000;452.600000
1;0;1;0;0;1;0;0;0;0;4;0;0;3;v0.9.1;9420.800000;443.600000
1;0;1;0;0;1;0;0;0;0;1;1;0;3;v0.9.1;11874.200000;459.400000
1;0;1;0;0;1;0;0;0;0;2;1;0;3;v0.9.1;10319.200000;457.400000
1;0;1;0;0;1;0;0;0;0;3;1;0;3;v0.9.1;9737.000000;452.200000
1;0;1;0;0;1;0;0;0;0;4;1;0;3;v0.9.1;9201.800000;435.400000
1;0;1;0;0;1;0;0;0;0;1;2;0;3;v0.9.1;12419.600000;494.000000
1;0;1;0;0;1;0;0;0;0;2;2;0;3;v0.9.1;10272.600000;451.000000
1;0;1;0;0;1;0;0;0;0;3;2;0;3;v0.9.1;9808.200000;452.600000
1;0;1;0;0;1;0;0;0;0;4;2;0;3;v0.9.1;9316.000000;453.000000
1;0;1;0;0;1;0;0;0;0;1;0;5;3;v0.9.1;11895.600000;452.800000
1;0;1;0;0;1;0;0;0;0;2;0;5;3;v0.9.1;10350.600000;434.800000
1;0;1;0;0;1;0;0;0;0;3;0;5;3;v0.9.1;9752.200000;461.000000
1;0;1;0;0;1;0;0;0;0;4;0;5;3;v0.9.1;9333.400000;448.200000
1;0;1;0;0;1;0;0;0;0;1;1;5;3;v0.9.1;11968.400000;464.600000
