root;journal;nojournal;journalCompression;journalCompressionSnappy;journalCompressionZlib;ssl;networkCompression;networkCompressionSnappy;networkCompressionZlib;wireObjectCheck;dataCompression;dataCompressionSnappy;dataCompressionZlib;indexPrefixCompression;journalCommitInterval;cacheSize;energy;performance
1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;256;6831.000000;211295.600000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;512;6814.400000;211220.600000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1024;6834.000000;208525.000000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;2048;6873.200000;210964.400000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;4096;6715.000000;210097.800000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;256;9773.800000;282455.000000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;512;9779.200000;282675.800000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;1024;9589.800000;281522.200000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;2048;10058.200000;285112.800000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;4096;9660.000000;282239.800000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;256;6897.600000;213123.800000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;512;6984.800000;214255.000000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;1024;7062.600000;216112.600000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;2048;7094.000000;213614.800000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;4096;6989.400000;212120.400000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;256;9847.000000;284881.800000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;512;9693.400000;283928.600000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;1024;9855.000000;285884.800000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;2048;9975.400000;288797.800000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;4096;9800.000000;285901.400000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;256;6872.800000;209472.600000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;512;6839.800000;209587.400000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1024;6878.400000;208957.000000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;2048;6752.200000;208421.400000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;4096;6870.600000;210528.800000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;256;6975.600000;212590.800000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;512;7046.400000;211906.200000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1024;6943.800000;212430.200000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;2048;6912.800000;212073.400000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;4096;6850.600000;207481.800000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;256;6855.800000;209542.000000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;512;6835.800000;209824.200000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1024;6836.000000;212387.000000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;2048;6904.600000;210697.000000
1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;4096;6738.200000;207569.200000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;256;6884.600000;212880.200000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;512;6924.800000;211642.400000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;1024;6933.200000;213959.400000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;2048;6945.400000;210296.600000
1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;4096;6945.400000;213986.600000
1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;256;9759.400000;279828.000000
1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;512;9826.400000;283388.600000
1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1024;9709.400000;282187.600000
1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;2048;9606.600000;278373.800000
1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;4096;10157.800000;290042.800000
